Variable,Description,SurveyQuestion
spwrksta,spouse labor force status,"Last week was your (wife/husband) working full time, part time, going to school, keeping house, or what?"
srcbelt,src beltcode,"C. SRC (SURVEY RESEARCH CENTER, UNIVERSITY OF MICHIGAN) NEW BELT CODE As of 2024, SRCBELT is being retired in favor of XNORCSIZ. Researchers interested in SRCBELT can reach out to NORC for details in working with the data."
ssfchild,same sex female couple raise child as well as male-female couple,To what extent do you agree or disagree with the following statements? A. A same sex female couple can bring up a child as well as a male-female couple.
ssmchild,same sex male couple raise child as well as male-female couple,To what extent do you agree or disagree with the following statements? B. A same sex male couple can bring up a child as well as a male-female couple.
stress12,stress management program last 12 months,"In the past 12 months, have you participated in any of these stress management or stress reduction programs?"
stresses,how likely x s situation caused by stress,"In your opinion, how likely is it that NAME's situation might be caused by (READ a-f) -- very likely, somewhat likely, not very likely, or not at all likely? D. Stressful circumstances in his/her life"
strredpg,access to stress management,Do you have access to stress management or stress reduction programs at your current workplace?
suicide1,suicide if incurable disease,"Do you think a person has the right to end his or her own life if this person . . . READ EACH STATEMENT AND CIRCLE ONE CODE FOR EACH. A. Has an incurable disease? NOTE: Due to an error on the 2021 web instrument, ""Don't Know"" was incorrectly shown to respondents, unlike in other years where it is not made explicitly visible or asked as part of the question."
suicide2,suicide if bankrupt,"Do you think a person has the right to end his or her own life if this person . . . READ EACH STATEMENT AND CIRCLE ONE CODE FOR EACH. B. Has gone bankrupt? NOTE: Due to an error on the 2021 web instrument, ""Don't Know"" was incorrectly shown to respondents, unlike in other years where it is not made explicitly visible or asked as part of the question."
suicide3,suicide if dishonored family,"Do you think a person has the right to end his or her own life if this person . . . READ EACH STATEMENT AND CIRCLE ONE CODE FOR EACH. C. Has dishonored his or her family? NOTE: Due to an error on the 2021 web instrument, ""Don't Know"" was incorrectly shown to respondents, unlike in other years where it is not made explicitly visible or asked as part of the question."
suicide4,suicide if tired of living,"Do you think a person has the right to end his or her own life if this person . . . READ EACH STATEMENT AND CIRCLE ONE CODE FOR EACH. D. Is tired of living and ready to die? NOTE: Due to an error on the 2021 web instrument, ""Don't Know"" was incorrectly shown to respondents, unlike in other years where it is not made explicitly visible or asked as part of the question."
suphelp,supervisor helpful to r in getting job done,"Now I''m going to read you another list of statements about your main job. For each, please tell me if the statement is very true, somewhat true, not too true, or not at all true with respect to the work you do. L. My supervisor is helpful to me in getting the job done"
tax,r's federal income tax,"Do you consider the amount of federal income tax which you have to pay as too high, about right, or too low?"
taxrich,taxes on high income people too high,"Generally, how would you describe taxes in America today... We mean all taxes together, including social security, income tax, sales tax, and all the rest. A. First, for those with high incomes, are taxes . . ."
taxshare,should rich pay bigger share of taxes?,"Do you think that people with high incomes should pay a larger share of their income in taxes than those with low incomes, the same share, or a smaller share . . ."
teens,household members 13 thru 17 yrs old,"Household Size and Composition (see Appendix D: Recodes, for information about these variables). C. NUMBER OF MEMBERS 13 TO 17 YEARS OLD: As of 2024, TEENS has been recoded to only account for 0 to 2+ teenagers in the household. This has been retroactively applied to all previous years of TEENS. The original TEENS containing data from 1972 to 2022 has been renamed TEENS_7222."
teensex,sex before marriage:teens 14-16,"There's been a lot of discussion about the way morals and attitudes about sex are changing in this country. If a man and woman have sex relations before marriage, do you think it is always wrong, almost always wrong, wrong only sometimes, or not wrong at all? A. What if they are in their early teens, say 14 to 16 years old? In that case, do you think sex relations before marriage are always wrong, almost always wrong, wrong only sometimes, or not wrong at all?"
tempgen,greenhouse effect danger to envir,"A. In general, do you think that a rise in the world's temperature caused by the `greenhouse effect', is…"
tempgen1,greenhouse effect danger to envir,"H. In general, do you think that a rise in the world’s temperature caused by climate change is . . ."
theism,god concerned with human beings personally,Do you agree or disagree with the following. . . A. There is a God who concerns Himself with every human being personally.
thnkself,to think for ones self,"If you had to choose, which thing on this list would you pick as the most important for a child to learn to prepare him or her for life? [INTERVIEWER: READ CHOICES] A. Which comes next in importance? B. Which comes third? C. Which comes fourth? 3. To think for himself or herself"
tiredhm1,how often too tired to do housework,How often has each of the following happened to you during the past three months? A. You have come home from work too tired to do the chores which need to be done.
tiredwk1,how often too tired from housework to do job well,How often has each of the following happened to you during the past three months? C. You have arrived at work too tired to function well because of the household work you had done.
tlkclrgy,x should talk to religious leader,"Should NAME do any of the following: B. Talk to a minister, priest, rabbi or other religious leader"
tlkfam,x should talk to family and friends,Should NAME do any of the following: A. Talk things over with family and friends
toodifme,too diff to do anything about envir,How much do you agree or disagree with each of these statements? A. It is just too difficult for someone like me to do much about the environment.
toofast,science makes our way of life change too fast,"I’m going to read to you some statements like those you might find in a newspaper or magazine article. For each statement, please tell me if you strongly agree, agree, disagree, or strongly disagree. B. Science makes our way of life change too fast."
topprob1,most important issue for america,A1. Which of these issues is the most important for America today?
topprob2,next important issue,A2. Which is the next most important?
trustsci,we trust too much in science,We trust too much in science and not enough in religious faith.
trynewjb,how likely r make effort for new job next year,"Taking everything into consideration, how likely is it you will make a genuine effort to find a new job with another employer within the next year?"
tvhours,hours per day watching tv,"On the average day, about how many hours do you personally watch television?"
unemp,ever unemployed in last ten yrs,"At any time during the last ten years, have you been unemployed and looking for work for as long as a month?"
union_,does r or spouse belong to union,
unrelat,number in household not related,"Is everyone in the household related to you in some way? A. IF NO: How many persons in the household are not related to you in any way? As of 2024, UNRELAT has been recoded to only account for 0 to 2+ people. This has been retroactively applied to all previous years of UNRELAT. The original UNRELAT containing data from 1972 to 2022 has been renamed UNRELAT_7222."
upsdowns,how likely x is experiencing normal ups-and-downs of life,"In your opinion, how likely is it that NAME is experiencing (READ A-E) -- very likely, somewhat likely, not very likely, or not at all likely? (IN PART E, READ ONLY THE PHRASE FOLLOWING THE LETTER OF THE VIGNETTE) A. Part of the normal ups and downs of life"
usedup,how often during past month r felt used up,How often during the past month have you felt used up at the end of the day?
usewww,r use www other than email,"Other than for e-mail, do you ever use the Internet or World Wide Web? [INTERVIEWER: TREAT THESE AS THE SAME]"
uswary,expect u.s. in world war in 10 years,Do you expect the United States to fight in another world war within the next ten years?
vetyears,years in armed forces,Have you ever been on active duty for military training or service for two consecutive months or more? IF YES: What was your total time on active duty?
vigfrnd,how willing r would make friends with x,"How willing would you be (READ A-F) -- definitely willing, probably willing, probably unwilling, or definitely unwilling? C. To make friends with NAME?"
viggrp,how willing r would have a group home for x,"How willing would you be (READ A-F) -- definitely willing, probably willing, probably unwilling, or definitely unwilling? E. To have a group home for people like NAME opened in your neighborhood?"
viglabel,how likely x is experiencing vignettes,"In your opinion, how likely is it that NAME is experiencing (READ A-E) -- very likely, somewhat likely, not very likely, or not at all likely? (IN PART E, READ ONLY THE PHRASE FOLLOWING THE LETTER OF THE VIGNETTE) E. REFER TO VIGNETTE ID, CHECK BELOW AND READ ONLY 1 PHRASE OF THE FOLLOWING: Vignette A: alcohol dependence Vignette B: a major depression Vignette C: schizophrenia Vignette D: a drug problem Vignette E: GO TO DECTREAT"
vigmar,how willing r would have x marry in r's family,"How willing would you be (READ A-F) -- definitely willing, probably willing, probably unwilling, or definitely unwilling? F. To have NAME marry into your family?"
vignei,how willing r would have x as a neighbor,"How willing would you be (READ A-F) -- definitely willing, probably willing, probably unwilling, or definitely unwilling? A. To move next door to NAME?"
vigsoc,how willing r would spend time socializing with x,"How willing would you be (READ A-F) -- definitely willing, probably willing, probably unwilling, or definitely unwilling? B. To spend an evening socializing with NAME?"
vigversn,vignette version number,Next I'm going to describe a person -- lets call him/her (REFER TO NAME IN VIGNETTE). After I read a description of him/her I'll ask you some questions about how you think and feel about him/her. There are no right or wrong answers. I'm only interested in what you think of NAME.
vigwork,how willing r would work closely with x on a job,"How willing would you be (READ A-F) -- definitely willing, probably willing, probably unwilling, or definitely unwilling? D. To have NAME start working closely with you on a job?"
viruses,sci knowledge: antibiotics kill viruses as well as bacteria,"Now, I would like to ask you a few short questions like those you might see on a television game show. for each statement that I read, please tell me if it is true or false. If you don’t know or aren’t sure, just tell me so, and we will skip to the next question. Remember true, false, or don’t know. F. Antibiotics kill viruses as well as bacteria. (Is that true or false?)"
visnhist,how often r visited natural history museum last year,A natural history museum. How many times did you visit a natural history museum during the last year?
vissci,how often r visited science museum,A science or technology museum. How many times did you visit a science or technology museum during the last year?
viszoo,how often r visited zoo last year,A zoo or aquarium. How many times did you visit a zoo or aquarium during the last year?
watergen,water pollution danger to envir,"A. In general, do you think that pollution of America's rivers, lakes, and streams is..."
waypaid,how paid in main job,"In your main job, are you salaried, paid by the hour, or what?"
wayraise,how likely x s situation caused by the way raised,"In your opinion, how likely is it that NAME's situation might be caused by (READ a-f) -- very likely, somewhat likely, not very likely, or not at all likely? C. The way (s/he) was raised"
wealth,total wealth of respondent,Please estimate your total wealth.
webdocexp,INFORMATION ONLINE HELPED ME UNDERSTAND A DOCTOR,"(To what extent do you agree or disagree with the following statements? During the past 12 months, information on the internet...) ...helped me understand what a doctor tried to explain to me."
webmob,r uses home internet through mobile device,"B. Do you have access to the Internet or World Wide Web in your home through a Internet-enabled mobile device like a smart phone, PDA, or BlackBerry?"
websympt,INTERNET IS USEFUL TO DECIDE IF SYMPTOMS ARE SERIOUS,To what extent do you agree or disagree with the following statements? The internet is useful to help people decide if their symptoms are serious enough to go to the doctor.
weekswrk,weeks r worked last year,Now I'd like to ask you about last year. In [the previous year] how many weeks did you work either full-time or part-time not counting work around the house--include paid vacations and sick leave?
weight,r weighs how much,About how much do you weigh without shoes? Reported in pounds.
where1,where is 1st person staying?,"Please tell me the names of the people who usually live in this household. Let's start with the head of the household. [LIST ON LINES 01-10 BELOW.] Have we forgotten anyone: such as babies or small children; roomers; people who usually live here, but are away temporarily--on business trips, vacations, at school, temporarily in a hospital, and so on? [LIST ADDITIONAL PERSONS ON LINES 01-10 BELOW.] Are there any people currently staying here--visitors, friends or relatives--do not usually live here? [LIST VISITORS ON LINES 11-14 BELOW.] A. What is that [PERSON'S] relationship to the HEAD OF HOUSEHOLD? B. Code sex. [ASK IF NOT OBVIOUS]. C. How old was [HEAD/PERSON] on (his/her) last birthday? D. IF 13 YRS OR OLDER ASK: Is [PERSON] now married, widowed, divorced, separated, or has (he/she) never been married? E. Are any of the people we have listed staying somewhere else right now? If yes, who is staying somewhere else right now? F. Where is [PERSON] staying right now? Is [PERSON] staying at another household; Is (he/she) traveling; Is (he/she) in some institution or dormitory--like at college or in a hospital or something; or what? 6. Where is the first person staying?"
where10,where is 1oth person staying?,"Please tell me the names of the people who usually live in this household. Let's start with the head of the household. [LIST ON LINES 01-10 BELOW.] Have we forgotten anyone: such as babies or small children; roomers; people who usually live here, but are away temporarily--on business trips, vacations, at school, temporarily in a hospital, and so on? [LIST ADDITIONAL PERSONS ON LINES 01-10 BELOW.] Are there any people currently staying here--visitors, friends or relatives--do not usually live here? [LIST VISITORS ON LINES 11-14 BELOW.] A. What is that [PERSON'S] relationship to the HEAD OF HOUSEHOLD? B. Code sex. [ASK IF NOT OBVIOUS]. C. How old was [HEAD/PERSON] on (his/her) last birthday? D. IF 13 YRS OR OLDER ASK: Is [PERSON] now married, widowed, divorced, separated, or has (he/she) never been married? E. Are any of the people we have listed staying somewhere else right now? If yes, who is staying somewhere else right now? F. Where is [PERSON] staying right now? Is [PERSON] staying at another household; Is (he/she) traveling; Is (he/she) in some institution or dormitory--like at college or in a hospital or something; or what? 6. Where is the tenth person staying?"
where11,where is 11th person (visitor) staying?,"Please tell me the names of the people who usually live in this household. Let's start with the head of the household. [LIST ON LINES 01-10 BELOW.] Have we forgotten anyone: such as babies or small children; roomers; people who usually live here, but are away temporarily--on business trips, vacations, at school, temporarily in a hospital, and so on? [LIST ADDITIONAL PERSONS ON LINES 01-10 BELOW.] Are there any people currently staying here--visitors, friends or relatives--do not usually live here? [LIST VISITORS ON LINES 11-14 BELOW.] A. What is that [PERSON'S] relationship to the HEAD OF HOUSEHOLD? B. Code sex. [ASK IF NOT OBVIOUS]. C. How old was [HEAD/PERSON] on (his/her) last birthday? D. IF 13 YRS OR OLDER ASK: Is [PERSON] now married, widowed, divorced, separated, or has (he/she) never been married? E. Are any of the people we have listed staying somewhere else right now? If yes, who is staying somewhere else right now? F. Where is [PERSON] staying right now? Is [PERSON] staying at another household; Is (he/she) traveling; Is (he/she) in some institution or dormitory--like at college or in a hospital or something; or what? 6. Where is the eleventh person staying?"
where12,where is 12th person (visitor) staying?,"Please tell me the names of the people who usually live in this household. Let's start with the head of the household. [LIST ON LINES 01-10 BELOW.] Have we forgotten anyone: such as babies or small children; roomers; people who usually live here, but are away temporarily--on business trips, vacations, at school, temporarily in a hospital, and so on? [LIST ADDITIONAL PERSONS ON LINES 01-10 BELOW.] Are there any people currently staying here--visitors, friends or relatives--do not usually live here? [LIST VISITORS ON LINES 11-14 BELOW.] A. What is that [PERSON'S] relationship to the HEAD OF HOUSEHOLD? B. Code sex. [ASK IF NOT OBVIOUS]. C. How old was [HEAD/PERSON] on (his/her) last birthday? D. IF 13 YRS OR OLDER ASK: Is [PERSON] now married, widowed, divorced, separated, or has (he/she) never been married? E. Are any of the people we have listed staying somewhere else right now? If yes, who is staying somewhere else right now? F. Where is [PERSON] staying right now? Is [PERSON] staying at another household; Is (he/she) traveling; Is (he/she) in some institution or dormitory--like at college or in a hospital or something; or what? 6. Where is the twelfth person staying?"
where13,where is 13th person (visitor) staying?,"Please tell me the names of the people who usually live in this household. Let's start with the head of the household. [LIST ON LINES 01-10 BELOW.] Have we forgotten anyone: such as babies or small children; roomers; people who usually live here, but are away temporarily--on business trips, vacations, at school, temporarily in a hospital, and so on? [LIST ADDITIONAL PERSONS ON LINES 01-10 BELOW.] Are there any people currently staying here--visitors, friends or relatives--do not usually live here? [LIST VISITORS ON LINES 11-14 BELOW.] A. What is that [PERSON'S] relationship to the HEAD OF HOUSEHOLD? B. Code sex. [ASK IF NOT OBVIOUS]. C. How old was [HEAD/PERSON] on (his/her) last birthday? D. IF 13 YRS OR OLDER ASK: Is [PERSON] now married, widowed, divorced, separated, or has (he/she) never been married? E. Are any of the people we have listed staying somewhere else right now? If yes, who is staying somewhere else right now? F. Where is [PERSON] staying right now? Is [PERSON] staying at another household; Is (he/she) traveling; Is (he/she) in some institution or dormitory--like at college or in a hospital or something; or what? 6. Where is the thirteenth person staying?"
where14,where is 14th person (visitor) staying?,"Please tell me the names of the people who usually live in this household. Let's start with the head of the household. [LIST ON LINES 01-10 BELOW.] Have we forgotten anyone: such as babies or small children; roomers; people who usually live here, but are away temporarily--on business trips, vacations, at school, temporarily in a hospital, and so on? [LIST ADDITIONAL PERSONS ON LINES 01-10 BELOW.] Are there any people currently staying here--visitors, friends or relatives--do not usually live here? [LIST VISITORS ON LINES 11-14 BELOW.] A. What is that [PERSON'S] relationship to the HEAD OF HOUSEHOLD? B. Code sex. [ASK IF NOT OBVIOUS]. C. How old was [HEAD/PERSON] on (his/her) last birthday? D. IF 13 YRS OR OLDER ASK: Is [PERSON] now married, widowed, divorced, separated, or has (he/she) never been married? E. Are any of the people we have listed staying somewhere else right now? If yes, who is staying somewhere else right now? F. Where is [PERSON] staying right now? Is [PERSON] staying at another household; Is (he/she) traveling; Is (he/she) in some institution or dormitory--like at college or in a hospital or something; or what? 6. Where is the fourteenth person staying?"
where2,where is 2nd person staying?,"Please tell me the names of the people who usually live in this household. Let's start with the head of the household. [LIST ON LINES 01-10 BELOW.] Have we forgotten anyone: such as babies or small children; roomers; people who usually live here, but are away temporarily--on business trips, vacations, at school, temporarily in a hospital, and so on? [LIST ADDITIONAL PERSONS ON LINES 01-10 BELOW.] Are there any people currently staying here--visitors, friends or relatives--do not usually live here? [LIST VISITORS ON LINES 11-14 BELOW.] A. What is that [PERSON'S] relationship to the HEAD OF HOUSEHOLD? B. Code sex. [ASK IF NOT OBVIOUS]. C. How old was [HEAD/PERSON] on (his/her) last birthday? D. IF 13 YRS OR OLDER ASK: Is [PERSON] now married, widowed, divorced, separated, or has (he/she) never been married? E. Are any of the people we have listed staying somewhere else right now? If yes, who is staying somewhere else right now? F. Where is [PERSON] staying right now? Is [PERSON] staying at another household; Is (he/she) traveling; Is (he/she) in some institution or dormitory--like at college or in a hospital or something; or what? 6. Where is the second person staying?"
where3,where is 3rd person staying?,"Please tell me the names of the people who usually live in this household. Let's start with the head of the household. [LIST ON LINES 01-10 BELOW.] Have we forgotten anyone: such as babies or small children; roomers; people who usually live here, but are away temporarily--on business trips, vacations, at school, temporarily in a hospital, and so on? [LIST ADDITIONAL PERSONS ON LINES 01-10 BELOW.] Are there any people currently staying here--visitors, friends or relatives--do not usually live here? [LIST VISITORS ON LINES 11-14 BELOW.] A. What is that [PERSON'S] relationship to the HEAD OF HOUSEHOLD? B. Code sex. [ASK IF NOT OBVIOUS]. C. How old was [HEAD/PERSON] on (his/her) last birthday? D. IF 13 YRS OR OLDER ASK: Is [PERSON] now married, widowed, divorced, separated, or has (he/she) never been married? E. Are any of the people we have listed staying somewhere else right now? If yes, who is staying somewhere else right now? F. Where is [PERSON] staying right now? Is [PERSON] staying at another household; Is (he/she) traveling; Is (he/she) in some institution or dormitory--like at college or in a hospital or something; or what? 6. Where is the third person staying?"
where4,where is 4th person staying?,"Please tell me the names of the people who usually live in this household. Let's start with the head of the household. [LIST ON LINES 01-10 BELOW.] Have we forgotten anyone: such as babies or small children; roomers; people who usually live here, but are away temporarily--on business trips, vacations, at school, temporarily in a hospital, and so on? [LIST ADDITIONAL PERSONS ON LINES 01-10 BELOW.] Are there any people currently staying here--visitors, friends or relatives--do not usually live here? [LIST VISITORS ON LINES 11-14 BELOW.] A. What is that [PERSON'S] relationship to the HEAD OF HOUSEHOLD? B. Code sex. [ASK IF NOT OBVIOUS]. C. How old was [HEAD/PERSON] on (his/her) last birthday? D. IF 13 YRS OR OLDER ASK: Is [PERSON] now married, widowed, divorced, separated, or has (he/she) never been married? E. Are any of the people we have listed staying somewhere else right now? If yes, who is staying somewhere else right now? F. Where is [PERSON] staying right now? Is [PERSON] staying at another household; Is (he/she) traveling; Is (he/she) in some institution or dormitory--like at college or in a hospital or something; or what? 6. Where is the fourth person staying?"
where5,where is 5th person staying?,"Please tell me the names of the people who usually live in this household. Let's start with the head of the household. [LIST ON LINES 01-10 BELOW.] Have we forgotten anyone: such as babies or small children; roomers; people who usually live here, but are away temporarily--on business trips, vacations, at school, temporarily in a hospital, and so on? [LIST ADDITIONAL PERSONS ON LINES 01-10 BELOW.] Are there any people currently staying here--visitors, friends or relatives--do not usually live here? [LIST VISITORS ON LINES 11-14 BELOW.] A. What is that [PERSON'S] relationship to the HEAD OF HOUSEHOLD? B. Code sex. [ASK IF NOT OBVIOUS]. C. How old was [HEAD/PERSON] on (his/her) last birthday? D. IF 13 YRS OR OLDER ASK: Is [PERSON] now married, widowed, divorced, separated, or has (he/she) never been married? E. Are any of the people we have listed staying somewhere else right now? If yes, who is staying somewhere else right now? F. Where is [PERSON] staying right now? Is [PERSON] staying at another household; Is (he/she) traveling; Is (he/she) in some institution or dormitory--like at college or in a hospital or something; or what? 6. Where is the fifth person staying?"
where6,where is 6th person staying?,"Please tell me the names of the people who usually live in this household. Let's start with the head of the household. [LIST ON LINES 01-10 BELOW.] Have we forgotten anyone: such as babies or small children; roomers; people who usually live here, but are away temporarily--on business trips, vacations, at school, temporarily in a hospital, and so on? [LIST ADDITIONAL PERSONS ON LINES 01-10 BELOW.] Are there any people currently staying here--visitors, friends or relatives--do not usually live here? [LIST VISITORS ON LINES 11-14 BELOW.] A. What is that [PERSON'S] relationship to the HEAD OF HOUSEHOLD? B. Code sex. [ASK IF NOT OBVIOUS]. C. How old was [HEAD/PERSON] on (his/her) last birthday? D. IF 13 YRS OR OLDER ASK: Is [PERSON] now married, widowed, divorced, separated, or has (he/she) never been married? E. Are any of the people we have listed staying somewhere else right now? If yes, who is staying somewhere else right now? F. Where is [PERSON] staying right now? Is [PERSON] staying at another household; Is (he/she) traveling; Is (he/she) in some institution or dormitory--like at college or in a hospital or something; or what? 6. Where is sixth person staying?"
where7,where is 7th person staying?,"Please tell me the names of the people who usually live in this household. Let's start with the head of the household. [LIST ON LINES 01-10 BELOW.] Have we forgotten anyone: such as babies or small children; roomers; people who usually live here, but are away temporarily--on business trips, vacations, at school, temporarily in a hospital, and so on? [LIST ADDITIONAL PERSONS ON LINES 01-10 BELOW.] Are there any people currently staying here--visitors, friends or relatives--do not usually live here? [LIST VISITORS ON LINES 11-14 BELOW.] A. What is that [PERSON'S] relationship to the HEAD OF HOUSEHOLD? B. Code sex. [ASK IF NOT OBVIOUS]. C. How old was [HEAD/PERSON] on (his/her) last birthday? D. IF 13 YRS OR OLDER ASK: Is [PERSON] now married, widowed, divorced, separated, or has (he/she) never been married? E. Are any of the people we have listed staying somewhere else right now? If yes, who is staying somewhere else right now? F. Where is [PERSON] staying right now? Is [PERSON] staying at another household; Is (he/she) traveling; Is (he/she) in some institution or dormitory--like at college or in a hospital or something; or what? 6. Where is the seventh person staying?"
where8,where is 8th person staying?,"Please tell me the names of the people who usually live in this household. Let's start with the head of the household. [LIST ON LINES 01-10 BELOW.] Have we forgotten anyone: such as babies or small children; roomers; people who usually live here, but are away temporarily--on business trips, vacations, at school, temporarily in a hospital, and so on? [LIST ADDITIONAL PERSONS ON LINES 01-10 BELOW.] Are there any people currently staying here--visitors, friends or relatives--do not usually live here? [LIST VISITORS ON LINES 11-14 BELOW.] A. What is that [PERSON'S] relationship to the HEAD OF HOUSEHOLD? B. Code sex. [ASK IF NOT OBVIOUS]. C. How old was [HEAD/PERSON] on (his/her) last birthday? D. IF 13 YRS OR OLDER ASK: Is [PERSON] now married, widowed, divorced, separated, or has (he/she) never been married? E. Are any of the people we have listed staying somewhere else right now? If yes, who is staying somewhere else right now? F. Where is [PERSON] staying right now? Is [PERSON] staying at another household; Is (he/she) traveling; Is (he/she) in some institution or dormitory--like at college or in a hospital or something; or what? 6. Where is the eighth person staying?"
where9,where is 9th person staying?,"Please tell me the names of the people who usually live in this household. Let's start with the head of the household. [LIST ON LINES 01-10 BELOW.] Have we forgotten anyone: such as babies or small children; roomers; people who usually live here, but are away temporarily--on business trips, vacations, at school, temporarily in a hospital, and so on? [LIST ADDITIONAL PERSONS ON LINES 01-10 BELOW.] Are there any people currently staying here--visitors, friends or relatives--do not usually live here? [LIST VISITORS ON LINES 11-14 BELOW.] A. What is that [PERSON'S] relationship to the HEAD OF HOUSEHOLD? B. Code sex. [ASK IF NOT OBVIOUS]. C. How old was [HEAD/PERSON] on (his/her) last birthday? D. IF 13 YRS OR OLDER ASK: Is [PERSON] now married, widowed, divorced, separated, or has (he/she) never been married? E. Are any of the people we have listed staying somewhere else right now? If yes, who is staying somewhere else right now? F. Where is [PERSON] staying right now? Is [PERSON] staying at another household; Is (he/she) traveling; Is (he/she) in some institution or dormitory--like at college or in a hospital or something; or what? 6. Where is the ninth person staying?"
whoelse1,presence of others: children under six,What other persons were present during the interview? Circle all that apply. A. Children under 6
whoelse2,presence of others: older children,What other persons were present during the interview? Circle all that apply. B. Older Children
whoelse3,presence of others: spouse partner,What other persons were present during the interview? Circle all that apply. C. Spouse Partner
whoelse4,presence of others: other relatives,What other persons were present during the interview? Circle all that apply. D. Other Relatives
whoelse5,presence of others: other adults,What other persons were present during the interview? Circle all that apply. E. Other Adults
whoelse6,presence of others: no one,What other persons were present during the interview? Circle all that apply. F. No One
whywkhme,usual reason r work at home,"Is it usually because you want to, you have to in order to keep up with your job, or for some other reason?"
widowed,ever been widowed,"Are you currently--married, widowed, divorced, separated, or have you never been married? C. IF CURRENTLY MARRIED, SEPARATED, OR DIVORCED: Have you ever been widowed?"
wkageism,r feels discriminated because of age,Do you feel in any way discriminated against on your job because of your age?
wkharoth,r threatened on the job last 12 months,"In the last 12 months, were you threatened or harassed in any other way by anyone while you were on the job?"
wkharsex,r sexually harassed on the job last 12 months,"In the last 12 months, were you sexually harassed by anyone while you were on the job?"
wkracism,r feels discriminated because of race,Do you feel in any way discriminated against on your job because of your race or ethnic origin?
wksexism,r feels discriminated because of gender,Do you feel in any way discriminated against on your job because of your gender?
wksub,does r or spouse have supervisor,Do you (does your [SPOUSE]) have a supervisor on (your/his/her) job to whom you are (he/she/is) directly responsible?
wksubs,does supervisor have supervisor,Do you (does your [SPOUSE]) have a supervisor on (your/his/her) job to whom you are (he/she/is) directly responsible? A. IF YES: Does that person have a supervisor on the job to whom he is directly responsible?
wksup,does r or spouse supervise anyone,"In your (SPOUSE'S) job, (do you/does he/she) supervise anyone who is directly responsible to (you/him/her)?"
wksups,does subordinate supervise anyone,"In your (SPOUSE''S) job, (do you/does he/she) supervise anyone who is directly responsible to (you/him/her)? A. IF YES: Do any of those persons supervise anyone else?"
wkvsfam,how often job interferes fam life,How often do the demands of your job interfere with your family life?
wlthhsps,rich - poor,"Now I have some questions about different groups in our society. I'm going to show you a seven-point scale on which the characteristics of people in a group can be rated. In the first statement a score of 1 means that you think almost all of the people in that group are ""rich."" A score of 7 means that you think almost everyone in the group are ""poor."" A score of 4 means you think that the group is not towards one end or another, and of course you may choose any number In between that comes closest to where you think people in the group stand. 5. Hispanic Americans?"
wlthwhts,rich - poor,"Now I have some questions about different groups in our society. I'm going to show you a seven-point scale on which the characteristics of people in a group can be rated. In the first statement a score of 1 means that you think almost all of the people in that group are ""rich."" A score of 7 means that you think almost everyone in the group are ""poor."" A score of 4 means you think that the group is not towards one end or another, and of course you may choose any number In between that comes closest to where you think people in the group stand. 1. Where would you rate whites in general on this scale?"
worda,word a,"We would like to know something about how people go about guessing words they do not know. On this card are listed some words--you may know some of them, and you may not know quite a few of them. On each line the first word is in capital letters -- like BEAST. Then there are five other words. Tell me the number of the word that comes closest to the meaning of the word in capital letters. For example, if the word in capital letters is BEAST, you would say ""4"" since ""animal"" come closer to BEAST than any of the other words. If you wish, I will read the words to you. These words are difficult for almost everyone -- just give me your best guess if you are not sure of the answer. CIRCLE ONE CODE NUMBER FOR EACH ITEM BELOW. A. Word A"
wordb,word b,"We would like to know something about how people go about guessing words they do not know. On this card are listed some words--you may know some of them, and you may not know quite a few of them. On each line the first word is in capital letters -- like BEAST. Then there are five other words. Tell me the number of the word that comes closest to the meaning of the word in capital letters. For example, if the word in capital letters is BEAST, you would say ""4"" since ""animal"" come closer to BEAST than any of the other words. If you wish, I will read the words to you. These words are difficult for almost everyone -- just give me your best guess if you are not sure of the answer. CIRCLE ONE CODE NUMBER FOR EACH ITEM BELOW. B. Word B"
wordc,word c,"We would like to know something about how people go about guessing words they do not know. On this card are listed some words--you may know some of them, and you may not know quite a few of them. On each line the first word is in capital letters -- like BEAST. Then there are five other words. Tell me the number of the word that comes closest to the meaning of the word in capital letters. For example, if the word in capital letters is BEAST, you would say ""4"" since ""animal"" come closer to BEAST than any of the other words. If you wish, I will read the words to you. These words are difficult for almost everyone -- just give me your best guess if you are not sure of the answer. CIRCLE ONE CODE NUMBER FOR EACH ITEM BELOW. C. Word C"
wordd,word d,"We would like to know something about how people go about guessing words they do not know. On this card are listed some words--you may know some of them, and you may not know quite a few of them. On each line the first word is in capital letters -- like BEAST. Then there are five other words. Tell me the number of the word that comes closest to the meaning of the word in capital letters. For example, if the word in capital letters is BEAST, you would say ""4"" since ""animal"" come closer to BEAST than any of the other words. If you wish, I will read the words to you. These words are difficult for almost everyone -- just give me your best guess if you are not sure of the answer. CIRCLE ONE CODE NUMBER FOR EACH ITEM BELOW. D. Word D"
