Variable,Description,SurveyQuestion
bigbang,sci knowledge: the universe began with a huge explosion,"Now, I would like to ask you a few short questions like those you might see on a television game show. for each statement that I read, please tell me if it is true or false. If you don’t know or aren’t sure, just tell me so, and we will skip to the next question. Remember true, false, or don’t know. G. The universe began with a huge explosion. (Is that true or false?)"
bigbang1,universe began with a big explosion: true or false,"For each statement that I read, please tell me if it is true or false. If you don't know or aren't sure, just tell me so, and we will skip to the next question. Remember true, false, or don't know. G2. According to astronomers, the universe began with a huge explosion. (Is this true or false?)"
born,was r born in this country,Were you born in this country?
boyorgrl,sci knowledge: father gene decides sex of baby,"Now, I would like to ask you a few short questions like those you might see on a television game show. for each statement that I read, please tell me if it is true or false. If you don’t know or aren’t sure, just tell me so, and we will skip to the next question. Remember true, false, or don’t know. C. It is the father’s gene that decides whether the baby is a boy or a girl. (Is that true or false?)"
breakdwn,how likely x is experiencing nervous breakdown,"In your opinion, how likely is it that NAME is experiencing (READ A-E) -- very likely, somewhat likely, not very likely, or not at all likely? (IN PART E, READ ONLY THE PHRASE FOLLOWING THE LETTER OF THE VIGNETTE) B. A nervous breakdown"
busgrn,u.s. business to protect environment,I. Which of these approaches do you think would be the best way of getting business and industry in America to protect the environment?
buyvalue,percent of company stock r bought from own money,Approximately what percent of the company stock that you own today did you buy with your own savings or money from your wages?
cappun,favor or oppose death penalty for murder,Do you favor or oppose the death penalty for persons convicted of murder?
carecost,who should pay for costs of care for under school age child,Who do you think should primarily cover the costs of childcare for children under school age?
careprov,who should provide childcare for under school age child,People have different views on childcare for children under school age. Who do you think should primarily provide childcare?
caresik1,who in household cares for sick in family,In your household who does the following things...? C. Cares for sick family members?
carsgen,car pollution danger to envir,"Please check one box for each of the questions below to show what you think. A. In general, do you think that air pollution caused by cars is…"
charactr,how likely x s situation caused by bad character,"In your opinion, how likely is it that NAME's situation might be caused by (READ a-f) -- very likely, somewhat likely, not very likely, or not at all likely? A. His/her own bad character"
chemgen,pesticides danger to envir,"A. In general, do you think that pesticides and chemicals used in farming are..."
childs,number of children,How many children have you ever had? Please count all that were born alive at any time (including any you had from a previous marriage).
chldidel,ideal number of children,What do you think is the ideal number of children for a family to have?
chngtme,how often r allowed change schedule,How often are you allowed to change your starting and quitting times on a daily basis?
class_,subjective class identification,
coden,partner's denomination,"What is your (PARTNER'S) religious preference? Is it Protestant, Catholic, Jewish, some other religion, or no religion? A. What specific denomination is that, if any? As of 2024, CODEN has been recoded to only account for seven broad denomination categories. This has been retroactively applied to all previous years of CODEN. The original CODEN containing data from 2012 to 2022 has been renamed CODEN_1222."
cofund,how fundamentalist is partner's current religion,"Fundamentalism/Liberalism of Partner's Religion NOTE: See GSS Methodological Report No. 43. If planning to perform trend analysis with this variable, please consult GSS Methodological Report No. 56."
cohabok,living together as an acceptable option,Do you agree or disagree . . . B. It is alright for a couple to live together without intending to get married.
colath,allow anti-religionist to teach,"There are always some people whose ideas are considered bad or dangerous by other people. For instance, somebody who is against all churches and religion . . . B. Should such a person be allowed to teach in a college or university, or not?"
colcom,should communist teacher be fired,"Now, I should like to ask you some questions about a man who admits he is a Communist. B. Suppose he is teaching in a college. Should he be fired, or not?"
coldeg1,the highest degree r have earned,What is the highest degree you have earned?
colhomo,allow homosexual to teach,"And what about a man who admits that he is a homosexual? B. Should such a person be allowed to teach in a college or university, or not?"
colmil,allow militarist to teach,"Consider a person who advocates doing away with elections and letting the military run the country. B. Should such a person be allowed to teach in a college or university, or not?"
